ISBN,JudulBuku,Penulis,Penerbit,JumlahHalaman,Genre,TahunTerbit,Stok,TanggalMasuk,Ketersediaan,Deskripsi,TotalDipinjam
9784628904106,Python Dasar,Andi Wijaya,Informatika,250,Komputer,2020,3,15-01-2023,Tersedia,Buku pemrograman Python untuk pemula.,0
9788258965963,Laskar Pelangi,Andrea Hirata,Bentang Pustaka,529,Fiksi,2005,5,10-02-2023,Tersedia,Novel inspiratif berlatar Belitung.,0
9783689327907,Bumi Manusia,Pramoedya Ananta Toer,Hasta Mitra,535,Fiksi Sejarah,1980,4,20-03-2023,Tersedia,Bagian pertama dari Tetralogi Buru,0
9784336091198,Cantik Itu Luka,Eka Kurniawan,Gramedia Pustaka Utama,537,Fiksi Sastra,2002,2,05-04-2023,Tersedia,Kisah epik keluarga dengan latar sejarah Indonesia.,0
9781669925273,Filosofi Teras,Henry Manampiring,Penerbit Buku Kompas,346,Self-help/Filsafat,2018,7,11-05-2023,Tersedia,Pengantar filsafat Stoisisme untuk kehidupan modern.,0
9783327011016,Sapiens: Riwayat Singkat Umat Manusia,Yuval Noah Harari,KPG (Kepustakaan Populer Gramedia),512,Sejarah/Antropologi,2011,3,22-06-2023,Tersedia,Penjelajahan sejarah umat manusia dari zaman batu hingga kini.,0
9788848163441,Atomic Habits,James Clear,Gramedia Pustaka Utama,320,Self-help/Pengembangan Diri,2018,6,19-07-2023,Tersedia,Panduan membangun kebiasaan baik dan menghilangkan kebiasaan buruk.,0
9781697313817,Pulang,Tere Liye,Republika Penerbit,400,Fiksi Petualangan,2015,4,01-08-2023,Tersedia,Kisah petualangan seorang anak dari pedalaman Sumatera.,0
9784984247979,Laut Bercerita,Leila S. Chudori,KPG (Kepustakaan Populer Gramedia),379,Fiksi Sejarah,2017,3,14-09-2023,Tersedia,Novel yang mengangkat kisah aktivis mahasiswa di era Orde Baru.,0
9783217306479,Gadis Kretek,Ratih Kumala,Gramedia Pustaka Utama,274,Fiksi Sejarah,2012,5,25-10-2023,Tersedia,Kisah cinta dan industri kretek di Indonesia pada masa lalu.,0
9787287700762,Jejak Langkah di Pasir Waktu,Rendra Sanjaya,Pustaka Imaji,320,Petualangan,2019,8,05-01-2024,Tersedia,Perjalanan epik melintasi gurun legendaris.,0
9780533707294,Rahasia Bintang Kejora,Ayu Lestari,Cahaya Pena,280,Fantasi,2021,5,12-01-2024,Tersedia,Kisah seorang gadis dengan kekuatan magis tersembunyi.,0
9787031571001,Memasak Mudah Sehari-hari,Chef Budi,Dapur Kita,150,Kuliner,2022,12,19-01-2024,Tersedia,Kumpulan resep praktis untuk keluarga.,0
9781479637433,Kode Biru Sang Programmer,Diana Putri,Logika Media,450,Teknologi,2020,3,26-01-2024,Tersedia,Novel tentang dunia startup dan peretasan.,0
9783554446075,Taman Bunga di Lembah Sunyi,Indah Permata,Pelangi Kata,210,Romansa,2023,6,02-02-2024,Tersedia,Kisah cinta yang tumbuh di tempat tak terduga.,0
9787650062929,Sejarah Kerajaan Nusantara Kuno,Prof. Agus Salim,Arsip Bangsa,600,Sejarah,2018,2,09-02-2024,Tersedia,Penelitian mendalam tentang kerajaan-kerajaan di Indonesia.,0
9784530821453,Misteri Rumah Tua di Ujung Jalan,Robby Kencana,Jejak Misteri,300,Horor,2022,0,16-02-2024,Kosong,Teror supranatural menghantui sebuah rumah kosong.,0
9782715791603,Belajar Bahasa Jepang Praktis,Kenji Tanaka,Sakura Press,180,Bahasa,2021,9,23-02-2024,Tersedia,Panduan cepat menguasai percakapan bahasa Jepang.,0
9785573055942,Ekonomi Makro Untuk Pemula,Dr. Siti Aminah,Kampus Ilmu,350,Ekonomi,2019,4,01-03-2024,Tersedia,Konsep dasar ekonomi makro yang mudah dipahami.,0
9781890224594,Anak Pemberani dari Desa Naga,Bambang Perkasa,Dongeng Nusantara,120,Anak,2023,10,08-03-2024,Tersedia,Cerita anak tentang keberanian dan persahabatan.,0
9783071457452,Revolusi Digital dan Masa Depan,Doni Setiawan,Era Baru Publishing,420,Sains Populer,2022,5,15-03-2024,Tersedia,Analisis dampak teknologi pada masyarakat.,0
9785526845259,Ketika Senja Menyapa Jakarta,Clara Adinda,Metro Fiksi,290,Fiksi Urban,2021,7,22-03-2024,Tersedia,Potret kehidupan dan cinta di kota metropolitan.,0
9786655794184,Panduan Investasi Saham Cerdas,Rian Wijaya,Modal Cerdas,260,Bisnis/Investasi,2023,11,29-03-2024,Tersedia,Strategi investasi untuk investor pemula dan menengah.,0
9781813808180,Biografi Pahlawan Kemerdekaan,Tim Sejarawan,Jasa Pahlawan,550,Biografi,2017,3,05-04-2024,Tersedia,Kumpulan kisah hidup para pejuang kemerdekaan Indonesia.,0
9781918118516,Jaringan Neural Tiruan,Dr. Elara Vance,Pustaka Cyber,450,teknologi,2024,12,15-05-2024,Tersedia,Dasar-dasar dan implementasi Jaringan Neural Tiruan terkini.,0
