ID,JudulBuku,Penulis,Penerbit,JumlahHalaman,Genre,TahunTerbit,ISBN,Stok,TanggalMasuk,Ketersediaan,Deskripsi,TotalDipinjam,
B001,Python Dasar,Andi Wijaya,Informatika,250,Komputer,2020,9.78602E+12,3,1/15/2023,Tersedia,Buku pemrograman Python untuk pemula.,0,
B002,Laskar Pelangi,Andrea Hirata,Bentang Pustaka,529,Fiksi,2005,9.78979E+12,5,2/10/2023,Tersedia,Novel inspiratif berlatar Belitung.,0,
B003,Bumi Manusia,Pramoedya Ananta Toer,Hasta Mitra,535,Fiksi Sejarah,1980,9.7898E+12,4,3/20/2023,Tersedia,Bagian pertama dari Tetralogi Buru,0,
B004,Cantik Itu Luka,Eka Kurniawan,Gramedia Pustaka Utama,537,Fiksi Sastra,2002,9.78602E+12,2,4/5/2023,Tersedia,Kisah epik keluarga dengan latar sejarah Indonesia.,0,
B005,Filosofi Teras,Henry Manampiring,Penerbit Buku Kompas,346,Self-help/Filsafat,2018,9.78602E+12,7,5/11/2023,Tersedia,Pengantar filsafat Stoisisme untuk kehidupan modern.,0,
B006,Sapiens: Riwayat Singkat Umat Manusia,Yuval Noah Harari,KPG (Kepustakaan Populer Gramedia),512,Sejarah/Antropologi,2011,9.78602E+12,3,6/22/2023,Tersedia,Penjelajahan sejarah umat manusia dari zaman batu hingga kini.,0,
B007,Atomic Habits,James Clear,Gramedia Pustaka Utama,320,Self-help/Pengembangan Diri,2018,9.78602E+12,6,7/19/2023,Tersedia,Panduan membangun kebiasaan baik dan menghilangkan kebiasaan buruk.,0,
B008,Pulang,Tere Liye,Republika Penerbit,400,Fiksi Petualangan,2015,9.78602E+12,4,8/1/2023,Tersedia,Kisah petualangan seorang anak dari pedalaman Sumatera.,0,
B009,Laut Bercerita,Leila S. Chudori,KPG (Kepustakaan Populer Gramedia),379,Fiksi Sejarah,2017,9.78602E+12,3,9/14/2023,Tersedia,Novel yang mengangkat kisah aktivis mahasiswa di era Orde Baru.,0,
B010,Gadis Kretek,Ratih Kumala,Gramedia Pustaka Utama,274,Fiksi Sejarah,2012,9.78979E+12,5,10/25/2023,Tersedia,Kisah cinta dan industri kretek di Indonesia pada masa lalu.,0,
B011,Jejak Langkah di Pasir Waktu,Rendra Sanjaya,Pustaka Imaji,320,Petualangan,2019,9.78602E+12,8,1/5/2024,Tersedia,Perjalanan epik melintasi gurun legendaris.,0,
B012,Rahasia Bintang Kejora,Ayu Lestari,Cahaya Pena,280,Fantasi,2021,9.78602E+12,5,1/12/2024,Tersedia,Kisah seorang gadis dengan kekuatan magis tersembunyi.,0,
B013,Memasak Mudah Sehari-hari,Chef Budi,Dapur Kita,150,Kuliner,2022,9.78602E+12,12,1/19/2024,Tersedia,Kumpulan resep praktis untuk keluarga.,0,
B014,Kode Biru Sang Programmer,Diana Putri,Logika Media,450,Teknologi,2020,9.78602E+12,3,1/26/2024,Tersedia,Novel tentang dunia startup dan peretasan.,0,
B015,Taman Bunga di Lembah Sunyi,Indah Permata,Pelangi Kata,210,Romansa,2023,9.78602E+12,6,2/2/2024,Tersedia,Kisah cinta yang tumbuh di tempat tak terduga.,0,
B016,Sejarah Kerajaan Nusantara Kuno,Prof. Agus Salim,Arsip Bangsa,600,Sejarah,2018,9.78602E+12,2,2/9/2024,Tersedia,Penelitian mendalam tentang kerajaan-kerajaan di Indonesia.,0,
B017,Misteri Rumah Tua di Ujung Jalan,Robby Kencana,Jejak Misteri,300,Horor,2022,9.78602E+12,0,2/16/2024,Kosong,Teror supranatural menghantui sebuah rumah kosong.,0,
